id	offset_octets	longueur_octets	type	resume
Process.umask	66139	373	method	process.umask() returns the Node.js process's file mode creation mask.
Process.umask	66512	860	method	process.umask(mask) sets the Node.js process's file mode creation mask.
Process.unref	67372	891	method	An object is "unrefable" if it implements the Node.js "Refable protocol".
Process.uptime	68263	475	method	The process.uptime() method returns the number of seconds the current Node.js process has been running.
Error	68738	684	class	A generic JavaScript <Error> object that does not denote any specific circumstance of why the error occurred.
Error.captureStackTrace	69422	1549	method	Creates a .stack property on targetObject, which when accessed returns a string representing the location in the code at which Error.captureStackTrace() was called.
AssertionError	70971	369	class	Extends: <errors.Error> Indicates the failure of an assertion.
RangeError	71340	821	class	Extends: <errors.Error> Indicates that a provided argument was not within the set or range of acceptable values for a function; whether that is a numeric range, or outside the set of options for a gi
ReferenceError	72161	814	class	Extends: <errors.Error> Indicates that an attempt is being made to access a variable that is not defined.
SyntaxError	72975	802	class	Extends: <errors.Error> Indicates that a program is not valid JavaScript.
SystemError	73777	1219	class	Extends: <errors.Error> Node.js generates system errors when exceptions occur within its runtime environment.
SystemError.common_system_errors	74996	3153	module	This is a list of system errors commonly-encountered when writing a Node.js program.
TypeError	78149	632	class	Extends <errors.Error> Indicates that a provided argument is not an allowable type.
AbortController	78781	610	class	A utility class used to signal cancelation in selected Promise-based APIs.
AbortController.AbortSignal	79391	440	class	Extends: <EventTarget> The AbortSignal is used to notify observers when the abortController.abort() method is called.
AbortController.AbortSignal.abort	79831	310	classMethod	Returns a new already aborted AbortSignal.
AbortController.AbortSignal.timeout	80141	369	classMethod	Returns a new AbortSignal which will be aborted in delay milliseconds.
AbortController.AbortSignal.any	80510	496	classMethod	Returns a new AbortSignal which will be aborted if any of the provided signals are aborted.
AbortController.AbortSignal.throwIfAborted	81006	341	method	If abortSignal.aborted is true, throws abortSignal.reason.
AbortController.abort	81347	376	method	Triggers the abort signal, causing the abortController.signal to emit the 'abort' event.
Blob	81723	181	class	See <Blob>.
Buffer	81904	285	class	Type: <Function> Used to handle binary data.
ByteLengthQueuingStrategy	82189	352	class	A browser-compatible implementation of ByteLengthQueuingStrategy.
BroadcastChannel	82541	241	class	See <BroadcastChannel>.
CompressionStream	82782	312	class	A browser-compatible implementation of CompressionStream.
CountQueuingStrategy	83094	327	class	A browser-compatible implementation of CountQueuingStrategy.
Crypto	83421	379	class	A browser-compatible implementation of <Crypto>.
CryptoKey	83800	394	class	A browser-compatible implementation of <CryptoKey>.
CustomEvent	84194	286	class	A browser-compatible implementation of <CustomEvent>.
DecompressionStream	84480	322	class	A browser-compatible implementation of DecompressionStream.
Event	84802	321	class	A browser-compatible implementation of the Event class.
EventSource	85123	286	class	A browser-compatible implementation of <EventSource>.
EventTarget	85409	351	class	A browser-compatible implementation of the EventTarget class.
File	85760	181	class	See <File>.
FormData	85941	271	class	A browser-compatible implementation of <FormData>.
Headers	86212	266	class	A browser-compatible implementation of <Headers>.
MessageChannel	86478	276	class	The MessageChannel class.
MessageEvent	86754	291	class	A browser-compatible implementation of <MessageEvent>.
MessagePort	87045	258	class	The MessagePort class.
Navigator	87303	266	class	A partial implementation of the Navigator API.
PerformanceEntry	87569	288	class	The PerformanceEntry class.
PerformanceMark	87857	282	class	The PerformanceMark class.
PerformanceMeasure	88139	300	class	The PerformanceMeasure class.
PerformanceObserver	88439	306	class	The PerformanceObserver class.
PerformanceObserverEntryList	88745	361	class	The PerformanceObserverEntryList class.
PerformanceResourceTiming	89106	343	class	The PerformanceResourceTiming class.
ReadableByteStreamController	89449	367	class	A browser-compatible implementation of ReadableByteStreamController.
ReadableStream	89816	297	class	A browser-compatible implementation of ReadableStream.
ReadableStreamBYOBReader	90113	347	class	A browser-compatible implementation of ReadableStreamBYOBReader.
ReadableStreamBYOBRequest	90460	352	class	A browser-compatible implementation of ReadableStreamBYOBRequest.
ReadableStreamDefaultController	90812	382	class	A browser-compatible implementation of ReadableStreamDefaultController.
ReadableStreamDefaultReader	91194	362	class	A browser-compatible implementation of ReadableStreamDefaultReader.
Response	91556	271	class	A browser-compatible implementation of <Response>.
Request	91827	266	class	A browser-compatible implementation of <Request>.
Storage	92093	266	class	A browser-compatible implementation of <Storage>.
SubtleCrypto	92359	409	class	A browser-compatible implementation of <SubtleCrypto>.
DOMException	92768	247	class	The WHATWG <DOMException> class.
TextDecoder	93015	267	class	The WHATWG TextDecoder class.
TextDecoderStream	93282	312	class	A browser-compatible implementation of TextDecoderStream.
TextEncoder	93594	267	class	The WHATWG TextEncoder class.
TextEncoderStream	93861	312	class	A browser-compatible implementation of TextEncoderStream.
TransformStream	94173	302	class	A browser-compatible implementation of TransformStream.
TransformStreamDefaultController	94475	387	class	A browser-compatible implementation of TransformStreamDefaultController.
URL	94862	219	class	The WHATWG URL class.
URLSearchParams	95081	291	class	The WHATWG URLSearchParams class.
WebAssembly	95372	452	class	Type: <Object> The object that acts as the namespace for all W3C WebAssembly related functionality.
WebSocket	95824	341	class	A browser-compatible implementation of <WebSocket>.
WritableStream	96165	297	class	A browser-compatible implementation of WritableStream.
WritableStreamDefaultController	96462	382	class	A browser-compatible implementation of WritableStreamDefaultController.
WritableStreamDefaultWriter	96844	362	class	A browser-compatible implementation of WritableStreamDefaultWriter.
usage_and_example	97206	192	module	
assert	97398	389	module	Source Code: lib/assert.js The node:assert module provides a set of assertion functions for verifying invariants.
assert.assert.AssertionError	97787	441	class	Extends: <errors.Error> Indicates the failure of an assertion.
assert.assert.Assert	98228	363	class	The Assert class allows creating independent assertion instances with custom options.
assert.assert.CallTracker	98591	413	class	This feature is deprecated and will be removed in a future version.
assert.assert.CallTracker.calls	99004	1025	method	The wrapper function is expected to be called exactly exact times.
assert.assert.CallTracker.getCalls	100029	1026	method	import assert from 'node:assert'; const tracker = new assert.CallTracker(); function func() {} const callsfunc = tracker.calls(func); callsfunc(1, 2, 3); assert.deepStrictEqual(tracker.getCalls(cal
assert.assert.CallTracker.report	101055	1684	method	The arrays contains information about the expected and actual number of calls of the functions that have not been called the expected number of times.
assert.assert.CallTracker.reset	102739	1086	method	Reset calls of the call tracker.
assert.assert.CallTracker.verify	103825	1276	method	Iterates through the list of functions passed to tracker.calls() and will throw an error for functions that have not been called the expected number of times.
assert.strict_assertion_mode	105101	1771	module	In strict assertion mode, non-strict methods behave like their corresponding strict methods.
assert.legacy_assertion_mode	106872	871	module	Legacy assertion mode uses the == operator in: assert.deepEqual() assert.equal() assert.notDeepEqual() assert.notEqual() To use legacy assertion mode: import assert from 'node:assert'; const assert
assert.assert	107743	232	method	An alias of assert.ok().
assert.deepEqual	107975	721	method	Strict assertion mode An alias of assert.deepStrictEqual().
assert.deepEqual.comparison_details	108696	3075	module	Primitive values are compared with the == operator, with the exception of <NaN>.
assert.deepStrictEqual	111771	500	method	Tests for deep equality between the actual and expected parameters.
assert.deepStrictEqual.comparison_details	112271	7131	module	Primitive values are compared using Object.is().
assert.doesNotMatch	119402	1417	method	Expects the string input not to match the regular expression.
assert.doesNotReject	120819	2015	method	Awaits the asyncFn promise or, if asyncFn is a function, immediately calls the function and awaits the returned promise to complete.
assert.doesNotThrow	122834	2438	method	Asserts that the function fn does not throw an error.
assert.equal	125272	1500	method	Strict assertion mode An alias of assert.strictEqual().
assert.fail	126772	1051	method	Throws an AssertionError with the provided error message or a default error message.
assert.fail	127823	2538	method	If message is falsy, the error message is set as the values of actual and expected separated by the provided operator.
assert.ifError	130361	1822	method	Throws value if value is not undefined or null.
assert.match	132183	1332	method	Expects the string input to match the regular expression.
assert.notDeepEqual	133515	1820	method	Strict assertion mode An alias of assert.notDeepStrictEqual().
assert.notDeepStrictEqual	135335	885	method	Tests for deep strict inequality.
assert.notEqual	136220	1229	method	Strict assertion mode An alias of assert.notStrictEqual().
assert.notStrictEqual	137449	1244	method	Tests strict inequality between the actual and expected parameters as determined by Object.is().
assert.ok	138693	2641	method	Tests if value is truthy.
assert.rejects	141334	2937	method	Awaits the asyncFn promise or, if asyncFn is a function, immediately calls the function and awaits the returned promise to complete.
assert.strictEqual	144271	2153	method	Tests strict equality between the actual and expected parameters as determined by Object.is().
assert.throws	146424	9429	method	Expects the function fn to throw an error.
assert.partialDeepStrictEqual	155853	758	method	Tests for partial deep equality between the actual and expected parameters.
assert.partialDeepStrictEqual.comparison_details	156611	3089	module	Primitive values are compared using Object.is().
asynchronous_context_tracking	159700	290	module	Source Code: lib/async_hooks.js
asynchronous_context_tracking.AsyncLocalStorage	159990	2401	class	This class creates stores that stay coherent through asynchronous operations.
asynchronous_context_tracking.AsyncLocalStorage.bind	162391	359	classMethod	Binds the given function to the current execution context.
asynchronous_context_tracking.AsyncLocalStorage.snapshot	162750	1258	classMethod	Captures the current execution context and returns a function that accepts a function as an argument.
asynchronous_context_tracking.AsyncLocalStorage.usage_with_`async/await`	164008	941	module	If, within an async function, only one await call is to run within a context, the following pattern should be used: async function fn() { await asyncLocalStorage.run(new Map(), () => { asyncLoca
asynchronous_context_tracking.AsyncLocalStorage.troubleshooting:_context_loss	164949	1074	module	In most cases, AsyncLocalStorage works without issues.
asynchronous_context_tracking.AsyncLocalStorage.disable	166023	925	method	Disables the instance of AsyncLocalStorage.
asynchronous_context_tracking.AsyncLocalStorage.getStore	166948	436	method	Returns the current store.
asynchronous_context_tracking.AsyncLocalStorage.enterWith	167384	1571	method	Transitions into the context for the remainder of the current synchronous execution and then persists the store through any following asynchronous calls.
asynchronous_context_tracking.AsyncLocalStorage.run	168955	1141	method	Runs a function synchronously within a context and returns its return value.
asynchronous_context_tracking.AsyncLocalStorage.exit	170096	1173	method	Runs a function synchronously outside of a context and returns its return value.
asynchronous_context_tracking.AsyncResource	171269	2616	class	The class AsyncResource is designed to be extended by the embedder's async resources.
asynchronous_context_tracking.AsyncResource.bind	173885	370	classMethod	Binds the given function to the current execution context.
asynchronous_context_tracking.AsyncResource.using_`asyncresource`_for_a_`worker`_thread_pool	174255	7449	module	The following example shows how to use the AsyncResource class to properly provide async tracking for a Worker pool.
asynchronous_context_tracking.AsyncResource.integrating_`asyncresource`_with_`eventemitter`	181704	1702	module	Event listeners triggered by an EventEmitter may be run in a different execution context than the one that was active when eventEmitter.on() was called.
asynchronous_context_tracking.AsyncResource.bind	183406	358	method	Binds the given function to execute to this AsyncResource's scope.
asynchronous_context_tracking.AsyncResource.runInAsyncScope	183764	658	method	Call the provided function with the provided arguments in the execution context of the async resource.
asynchronous_context_tracking.AsyncResource.emitDestroy	184422	502	method	Call all destroy hooks.
asynchronous_context_tracking.AsyncResource.asyncId	184924	222	method	
asynchronous_context_tracking.AsyncResource.triggerAsyncId	185146	243	method	
asynchronous_context_tracking.introduction	185389	809	module	These classes are used to associate state and propagate it throughout callbacks and promise chains.
async_hooks	186198	712	module	Source Code: lib/async_hooks.js We strongly discourage the use of the async_hooks API.
async_hooks.AsyncHook	186910	382	class	The class AsyncHook exposes an interface for tracking lifetime events of asynchronous operations.
async_hooks.AsyncHook.hook_callbacks	187292	561	module	Key events in the lifetime of asynchronous events have been categorized into four areas: instantiation, before/after the callback is called, and when the instance is destroyed.
async_hooks.AsyncHook.hook_callbacks.init	187853	1072	method	Called when a class is constructed that has the possibility to emit an asynchronous event.
async_hooks.AsyncHook.hook_callbacks.init.`type`	188925	1189	module	The type is a string identifying the type of resource that caused init to be called.
async_hooks.AsyncHook.hook_callbacks.init.`triggerasyncid`	190114	2355	module	triggerAsyncId is the asyncId of the resource that caused (or "triggered") the new resource to initialize and that caused init to call.
async_hooks.AsyncHook.hook_callbacks.init.`resource`	192469	739	module	resource is an object that represents the actual async resource that has been initialized.
async_hooks.AsyncHook.hook_callbacks.init.asynchronous_context_example	193208	4315	module	The context tracking use case is covered by the stable API AsyncLocalStorage.
async_hooks.AsyncHook.hook_callbacks.before	197523	1112	method	When an asynchronous operation is initiated (such as a TCP server receiving a new connection) or completes (such as writing data to disk) a callback is called to notify the user.
async_hooks.AsyncHook.hook_callbacks.after	198635	508	method	Called immediately after the callback specified in before is completed.
async_hooks.AsyncHook.hook_callbacks.destroy	199143	843	method	Called after the resource corresponding to asyncId is destroyed.
async_hooks.AsyncHook.hook_callbacks.promiseResolve	199986	1133	method	Called when the resolve function passed to the Promise constructor is invoked (either directly or through other means of resolving a promise).
async_hooks.AsyncHook.enable	201119	715	method	Enable the callbacks for a given AsyncHook instance.
async_hooks.AsyncHook.disable	201834	564	method	Disable the callbacks for a given AsyncHook instance from the global pool of AsyncHook callbacks to be executed.
async_hooks.AsyncHook.executionAsyncResource	202398	2802	method	Resource objects returned by executionAsyncResource() are most often internal Node.js handle objects with undocumented APIs.
async_hooks.AsyncHook.executionAsyncId	205200	1626	method	import { executionAsyncId } from 'node:async_hooks'; import fs from 'node:fs'; console.log(executionAsyncId()); // 1 - bootstrap const path = '.'; fs.open(path, 'r', (err, fd) => { console.log(exe
async_hooks.AsyncHook.triggerAsyncId	206826	1038	method	const server = net.createServer((conn) => { // The resource that caused (or triggered) this callback to be called // was that of the new connection.
async_hooks.AsyncLocalStorage	207864	332	class	The documentation for this class has moved AsyncLocalStorage.
async_hooks.terminology	208196	805	module	An asynchronous resource represents an object with an associated callback.
async_hooks.overview	209001	3892	module	Following is a simple overview of the public API.
async_hooks.promise_execution_tracking	212893	2836	module	By default, promise executions are not assigned asyncIds due to the relatively expensive nature of the promise introspection API provided by V8.
async_hooks.javascript_embedder_api	215729	655	module	Library developers that handle their own asynchronous resources performing tasks like I/O, connection pooling, or managing callback queues may use the AsyncResource JavaScript API so that all the appr
async_hooks.javascript_embedder_api.AsyncResource	216384	336	class	The documentation for this class has moved AsyncResource.
async_hooks.createHook	216720	1645	method	Registers functions to be called for different lifetime events of each async operation.
async_hooks.createHook.error_handling	218365	1231	module	If any AsyncHook callbacks throw, the application will print the stack trace and exit.
async_hooks.createHook.printing_in_`asynchook`_callbacks	219596	1730	module	Because printing to the console is an asynchronous operation, console.log() will cause AsyncHook callbacks to be called.
buffer	221326	3162	module	Source Code: lib/buffer.js Buffer objects are used to represent a fixed-length sequence of bytes.
buffer.Blob	224488	366	class	A <Blob> encapsulates immutable, raw data that can be safely shared across multiple worker threads.
buffer.Blob.`blob`_objects_and_`messagechannel`	224854	1863	module	Once a <Blob> object is created, it can be sent via MessagePort to multiple destinations without transferring or immediately copying the data.
buffer.Blob.arrayBuffer	226717	373	method	Returns a promise that fulfills with an <ArrayBuffer> containing a copy of the Blob data.
buffer.Blob.bytes	227090	496	method	The blob.bytes() method returns the byte of the Blob object as a Promise<Uint8Array>.
buffer.Blob.slice	227586	387	method	Creates and returns a new Blob containing a subset of this Blob objects data.
buffer.Blob.stream	227973	330	method	Returns a new ReadableStream that allows the content of the Blob to be read.
buffer.Blob.text	228303	350	method	Returns a promise that fulfills with the contents of the Blob decoded as a UTF-8 string.
buffer.Buffer	228653	361	class	The Buffer class is a global type for dealing with binary data directly.
buffer.Buffer.alloc	229014	1900	classMethod	Allocates a new Buffer of size bytes.
buffer.Buffer.allocUnsafe	230914	2071	classMethod	Allocates a new Buffer of size bytes.
buffer.Buffer.allocUnsafeSlow	232985	2284	classMethod	Allocates a new Buffer of size bytes.
buffer.Buffer.byteLength	235269	1384	classMethod	Returns the byte length of a string when encoded using encoding.
buffer.Buffer.compare	236653	1019	classMethod	Compares buf1 to buf2, typically for the purpose of sorting arrays of Buffer instances.
buffer.Buffer.concat	237672	1988	classMethod	Returns a new Buffer which is the result of concatenating all the Buffer instances in the list together.
buffer.Buffer.copyBytesFrom	239660	550	classMethod	Copies the underlying memory of view into a new Buffer.
buffer.Buffer.from	240210	1322	classMethod	Allocates a new Buffer using an array of bytes in the range 0 – 255.
buffer.Buffer.from	241532	2821	classMethod	This creates a view of the <ArrayBuffer> without copying the underlying memory.
buffer.Buffer.from	244353	900	classMethod	Copies the passed buffer data onto a new Buffer instance.
buffer.Buffer.from	245253	1591	classMethod	For objects whose valueOf() function returns a value not strictly equal to object, returns Buffer.from(object.valueOf(), offsetOrEncoding, length).
buffer.Buffer.from	246844	1296	classMethod	Creates a new Buffer containing string.
buffer.Buffer.isBuffer	248140	818	classMethod	Returns true if obj is a Buffer, false otherwise.
buffer.Buffer.isEncoding	248958	969	classMethod	Returns true if encoding is the name of a supported character encoding, or false otherwise.
buffer.Buffer.compare	249927	2858	method	Compares buf with target and returns a number indicating whether buf comes before, after, or is the same as target in sort order.
buffer.Buffer.copy	252785	2456	method	Copies data from a region of buf to a region in target, even if the target memory region overlaps with buf.
buffer.Buffer.entries	255241	927	method	Creates and returns an iterator of [index, byte] pairs from the contents of buf.
buffer.Buffer.equals	256168	934	method	Returns true if both buf and otherBuffer have exactly the same bytes, false otherwise.
buffer.Buffer.fill	257102	2520	method	Fills buf with the specified value.
buffer.Buffer.includes	259622	1451	method	Equivalent to buf.indexOf() !== -1.
buffer.Buffer.indexOf	261073	3666	method	If value is: a string, value is interpreted according to the character encoding in encoding.
buffer.Buffer.keys	264739	682	method	Creates and returns an iterator of buf keys (indexes).
buffer.Buffer.lastIndexOf	265421	3724	method	Identical to buf.indexOf(), except the last occurrence of value is found rather than the first occurrence.
buffer.Buffer.readBigInt64BE	269145	442	method	Reads a signed, big-endian 64-bit integer from buf at the specified offset.
buffer.Buffer.readBigInt64LE	269587	450	method	Reads a signed, little-endian 64-bit integer from buf at the specified offset.
buffer.Buffer.readBigUInt64BE	270037	809	method	Reads an unsigned, big-endian 64-bit integer from buf at the specified offset.
buffer.Buffer.readBigUInt64LE	270846	835	method	Reads an unsigned, little-endian 64-bit integer from buf at the specified offset.
buffer.Buffer.readDoubleBE	271681	676	method	Reads a 64-bit, big-endian double from buf at the specified offset.
buffer.Buffer.readDoubleLE	272357	812	method	Reads a 64-bit, little-endian double from buf at the specified offset.
buffer.Buffer.readFloatBE	273169	645	method	Reads a 32-bit, big-endian float from buf at the specified offset.
buffer.Buffer.readFloatLE	273814	777	method	Reads a 32-bit, little-endian float from buf at the specified offset.
buffer.Buffer.readInt8	274591	864	method	Reads a signed 8-bit integer from buf at the specified offset.
buffer.Buffer.readInt16BE	275455	691	method	Reads a signed, big-endian 16-bit integer from buf at the specified offset.
buffer.Buffer.readInt16LE	276146	831	method	Reads a signed, little-endian 16-bit integer from buf at the specified offset.
buffer.Buffer.readInt32BE	276977	703	method	Reads a signed, big-endian 32-bit integer from buf at the specified offset.
buffer.Buffer.readInt32LE	277680	851	method	Reads a signed, little-endian 32-bit integer from buf at the specified offset.
buffer.Buffer.readIntBE	278531	1239	method	Reads byteLength number of bytes from buf at the specified offset and interprets the result as a big-endian, two's complement signed value supporting up to 48 bits of accuracy.
buffer.Buffer.readIntLE	279770	939	method	Reads byteLength number of bytes from buf at the specified offset and interprets the result as a little-endian, two's complement signed value supporting up to 48 bits of accuracy.
buffer.Buffer.readUInt8	280709	861	method	Reads an unsigned 8-bit integer from buf at the specified offset.
buffer.Buffer.readUInt16BE	281570	873	method	Reads an unsigned, big-endian 16-bit integer from buf at the specified offset.
buffer.Buffer.readUInt16LE	282443	1033	method	Reads an unsigned, little-endian 16-bit integer from buf at the specified offset.
buffer.Buffer.readUInt32BE	283476	763	method	Reads an unsigned, big-endian 32-bit integer from buf at the specified offset.
buffer.Buffer.readUInt32LE	284239	923	method	Reads an unsigned, little-endian 32-bit integer from buf at the specified offset.
buffer.Buffer.readUIntBE	285162	1127	method	Reads byteLength number of bytes from buf at the specified offset and interprets the result as an unsigned big-endian integer supporting up to 48 bits of accuracy.
buffer.Buffer.readUIntLE	286289	979	method	Reads byteLength number of bytes from buf at the specified offset and interprets the result as an unsigned, little-endian integer supporting up to 48 bits of accuracy.
buffer.Buffer.subarray	287268	2665	method	Returns a new Buffer that references the same memory as the original, but offset and cropped by the start and end indexes.
buffer.Buffer.slice	289933	1613	method	Returns a new Buffer that references the same memory as the original, but offset and cropped by the start and end indexes.
buffer.Buffer.swap16	291546	1627	method	Interprets buf as an array of unsigned 16-bit integers and swaps the byte order in-place.
buffer.Buffer.swap32	293173	1162	method	Interprets buf as an array of unsigned 32-bit integers and swaps the byte order in-place.
buffer.Buffer.swap64	294335	1132	method	Interprets buf as an array of 64-bit numbers and swaps byte order in-place.
buffer.Buffer.toJSON	295467	1297	method	Returns a JSON representation of buf.
buffer.Buffer.toString	296764	1796	method	Decodes buf to a string according to the specified character encoding in encoding.
buffer.Buffer.values	298560	1063	method	Creates and returns an iterator for buf values (bytes).
buffer.Buffer.write	299623	1411	method	Writes string to buf at offset according to the character encoding in encoding.
buffer.Buffer.writeBigInt64BE	301034	800	method	Writes value to buf at the specified offset as big-endian.
buffer.Buffer.writeBigInt64LE	301834	806	method	Writes value to buf at the specified offset as little-endian.
buffer.Buffer.writeBigUInt64BE	302640	800	method	Writes value to buf at the specified offset as big-endian.
buffer.Buffer.writeBigUInt64LE	303440	951	method	Writes value to buf at the specified offset as little-endian import { Buffer } from 'node:buffer'; const buf = Buffer.allocUnsafe(8); buf.writeBigUInt64LE(0xdecafafecacefaden, 0); console.log(buf);
buffer.Buffer.writeDoubleBE	304391	812	method	Writes value to buf at the specified offset as big-endian.
buffer.Buffer.writeDoubleLE	305203	818	method	Writes value to buf at the specified offset as little-endian.
buffer.Buffer.writeFloatBE	306021	749	method	Writes value to buf at the specified offset as big-endian.
buffer.Buffer.writeFloatLE	306770	755	method	Writes value to buf at the specified offset as little-endian.
buffer.Buffer.writeInt8	307525	842	method	Writes value to buf at the specified offset.
buffer.Buffer.writeInt16BE	308367	860	method	Writes value to buf at the specified offset as big-endian.
buffer.Buffer.writeInt16LE	309227	866	method	Writes value to buf at the specified offset as little-endian.
buffer.Buffer.writeInt32BE	310093	879	method	Writes value to buf at the specified offset as big-endian.
buffer.Buffer.writeInt32LE	310972	885	method	Writes value to buf at the specified offset as little-endian.
buffer.Buffer.writeIntBE	311857	850	method	Writes byteLength bytes of value to buf at the specified offset as big-endian.
buffer.Buffer.writeIntLE	312707	856	method	Writes byteLength bytes of value to buf at the specified offset as little-endian.
buffer.Buffer.writeUInt8	313563	965	method	Writes value to buf at the specified offset.
buffer.Buffer.writeUInt16BE	314528	931	method	Writes value to buf at the specified offset as big-endian.
buffer.Buffer.writeUInt16LE	315459	937	method	Writes value to buf at the specified offset as little-endian.
buffer.Buffer.writeUInt32BE	316396	877	method	Writes value to buf at the specified offset as big-endian.
buffer.Buffer.writeUInt32LE	317273	883	method	Writes value to buf at the specified offset as little-endian.
buffer.Buffer.writeUIntBE	318156	920	method	Writes byteLength bytes of value to buf at the specified offset as big-endian.
